Site/Project: McLaughlin 80 sites,,,,,,,,,,,
Experiment: Temporal stability,,,,,,,,,,,
Date: Data collected 2009-2010,,,,,,,,,,,
Data description: Trait values,,,,,,,,,,,
Protocols: Traits were collected and measured following the methods of Cornelissen et al. 2003,,,,,,,,,,,
CVS file & path,,,,,,,,,,,
Names of data takers: Harrison Lab,,,,,,,,,,,
"Column info: species, ecotype, height, specific leaf area, leaf area, wet weight, dry weight, leaf water content, carbon:nitrogen, nitrogen, carbon, and functional group",,,,,,,,,,,
"Definitions & Abbreviations: For species and ecotype: s=serpentine, n=non-serpentine, sla = specific leaf area, wgt=weight, lwc = leaf water content, CN  = carbon to nitrogen, N=nitrogen, C = carbon, fnc_grp = functional group",,,,,,,,,,,
species,ecotype,height,sla,area,wet_wgt,dry_wgt,lwc,CN,N,C,fnc_grp
achillea_millefolium_n,n,77.2,138.1140268,73.159,1.3186,0.5297,0.598286061,18.18981481,2.16,39.29,perennial forb
achyrachaena_mollis_n,n,17.4,248.3596215,7.873,0.1996,0.0317,0.841182365,19.32323232,1.98,38.26,annual forb
achyrachaena_mollis_s,s,11.1,193.9346874,48.697,1.7951,0.2511,0.860119213,16.65765766,2.22,36.98,annual forb
aegilops_triuncialis_s,s,49,242.006079,15.924,0.2017,0.0658,0.67377293,63.23076923,0.52,32.88,annual grass
agoseris_grandiflora_n,n,14.5,186.6885893,113.544,4.0557,0.6082,0.850038218,17.28151261,2.38,41.13,annual forb
agoseris_grandiflora_s,s,23.9,159.8564955,84.66,2.7917,0.5296,0.810294802,19.28,1.5,28.92,annual forb
agoseris_heterophylla_n,n,30.4,197.3976608,13.502,0.3501,0.0684,0.804627249,19.20093458,2.14,41.09,annual forb
agoseris_heterophylla_s,s,12.5,342.641844,19.325,0.3141,0.0564,0.820439351,38.21,1,38.21,annual forb
aira_caryophyllea_n,n,19.4,183.7037037,0.496,0.0048,0.0027,0.4375,43.12371134,0.97,41.83,annual grass
aira_caryophyllea_s,s,18.2,309.3442623,1.887,0.0252,0.0061,0.757936508,77.40384615,0.52,40.25,annual grass
allium_falcifolium_s,s,4.4,117.4246183,123.061,8.7644,1.048,0.880425357,14.98951049,2.86,42.87,perennial forb
allium_fimbriatum_s,s,15.9,101.2526158,33.869,1.9817,0.3345,0.831205531,15.58076923,2.6,40.51,perennial forb
allium_serra_n,n,25.5,99.66292135,81.604,5.3591,0.8188,0.847213151,34.4,1.15,39.56,perennial forb
amsinckia_menziesii_n,n,46.2,180.0901917,15.974,0.3931,0.0887,0.77435767,13.56097561,2.87,38.92,annual forb
amsinckia_menziesii_s,s,15.9,188.503612,18.266,0.6177,0.0969,0.843127732,14.63601533,2.61,38.2,annual forb
anagallis_arvensis_n,n,10.95,316.7251462,10.832,0.2065,0.0342,0.834382567,21.93333333,1.95,42.77,annual forb
anagallis_arvensis_s,s,10.1,390.9952607,8.25,0.1476,0.0211,0.85704607,21.14583333,1.92,40.6,annual forb
ancistrocarphus_filagineus_n,n,4.4,277.1794872,1.081,0.0184,0.0039,0.788043478,24.31724138,1.45,35.26,annual forb
ancistrocarphus_filagineus_s,s,2.4,172.893617,4.063,0.0293,0.0235,0.197952218,41.47368421,0.57,23.64,annual forb
aphanes_occidentalis_n,n,3.7,308.2352941,1.048,0.0112,0.0034,0.696428571,46.76136364,0.88,41.15,annual forb
aphanes_occidentalis_s,s,5.7,503.5087719,2.87,0.0252,0.0057,0.773809524,46.76136364,0.88,41.15,annual forb
asclepias_fascicularis_s,s,28,168.3571429,28.284,0.8619,0.168,0.805081796,51.87341772,0.79,40.98,perennial forb
astragalus_breweri_s,s,6,241.6831683,2.441,0.0708,0.0101,0.857344633,10.79899497,3.98,42.98,annual forb
astragalus_gambelianus_n,n,5.2,167.7705977,10.385,0.1867,0.0619,0.668452062,14.9023569,2.97,44.26,annual forb
astragalus_gambelianus_s,s,6.01,204.7292818,18.528,0.4721,0.0905,0.808303326,12.38904899,3.47,42.99,annual forb
astragalus_rattanii_var_jepsonianus_n,n,17,166.7839506,27.019,0.9078,0.162,0.821546596,12.12693498,3.23,39.17,annual forb
athysanus_pusillus_n,n,16.7,256.0784314,2.612,0.0622,0.0102,0.836012862,28.68253968,1.26,36.14,annual forb
athysanus_pusillus_s,s,16.5,179.2666667,10.756,0.4253,0.06,0.858923113,16.42035398,2.26,37.11,annual forb
avena_barbata_n,n,38,225.6026365,23.959,0.3656,0.1062,0.7095186,56.76388889,0.72,40.87,annual grass
